Model,Greek draws dismissed,Greek draws granting relief,Agreement with court,MCC,F,W_en,L_EN,Δ_EN [95% CI],W_de,L_DE,Mean D [95% CI],Ground differs: EN / BT-en
GPT-5.6 Terra,620/620,0/620,0.40,0.00,0.00,0.00,0.00,"0.00 [0.00, 0.00]",0.00,0.00,"0.00 [0.00, 0.01]",0.10 / 0.00
"GPT-5.6 Terra, reasoning off",597/620,23/620,0.40,0.00,0.00,0.00,0.00,"0.00 [0.00, 0.00]",0.00,0.00,"−0.04 [−0.11, 0.00]",0.40 / 0.20
Claude Sonnet 5,546/620,74/620,0.40,0.00,0.00,0.20,0.00,"−0.20 [−0.50, 0.00]",0.10,0.00,"−0.10 [−0.18, −0.04]",0.36 / 0.11
Gemini 3.6 Flash,577/620,43/620,0.50,0.29,0.00,0.00,0.00,"0.00 [0.00, 0.00]",0.10,0.10,"−0.01 [−0.03, 0.01]",0.00 / 0.00
