configuration,model,arm,calls,mean input tokens,mean cached share,mean output tokens,mean reasoning tokens,cost (USD)
terra,gpt-5.6-terra,gr,300,7502.1,0.9662401137,367.9466666667,107.6933333333,1.911332
terra,gpt-5.6-terra,en,150,4256.1,0.9326108244,251.3133333333,117.5066666667,0.65741
terra-off,gpt-5.6-terra,gr,300,7502.1,0.9662401137,263.03,0.0,1.533632
terra-off,gpt-5.6-terra,en,150,4256.1,0.9326108244,136.68,0.0,0.45107
sonnet,claude-sonnet-5,gr,300,13349.4,0.9665075846,569.81,,2.81847
sonnet,claude-sonnet-5,en,150,6344.7,0.9330095273,313.0533333333,,0.806351
gemini,gemini-3.6-flash,gr,300,7868.7,0.1280405349,1700.3966666667,1427.1333333333,3.363628
gemini,gemini-3.6-flash,en,150,4410.9,0.0,983.4866666667,835.6933333333,1.049439
