model,arm,valid draws,granted in full,granted in part,dismissed,conditional order,share full,share part,share dismissed,share conditional,share granting relief
GPT-5.6 Terra,Greek,300,0,0,300,0,0.000,0.000,1.000,0.000,0.000
GPT-5.6 Terra,English,150,2,1,147,0,0.013,0.007,0.980,0.000,0.020
"GPT-5.6 Terra, reasoning off",Greek,300,0,0,300,0,0.000,0.000,1.000,0.000,0.000
"GPT-5.6 Terra, reasoning off",English,150,0,0,150,0,0.000,0.000,1.000,0.000,0.000
Claude Sonnet 5,Greek,300,0,104,196,0,0.000,0.347,0.653,0.000,0.347
Claude Sonnet 5,English,150,0,6,144,0,0.000,0.040,0.960,0.000,0.040
Gemini 3.6 Flash,Greek,300,22,1,277,0,0.073,0.003,0.923,0.000,0.077
Gemini 3.6 Flash,English,150,9,2,139,0,0.060,0.013,0.927,0.000,0.073
