model,arm,valid draws,ground 1: real prospect of success,ground 2: point of law or construction of a document,ground 3: other compelling reason for a trial,ground 4: procedural point,ground 5: another ground,share ground 1,share ground 2,share ground 3,share ground 4,share ground 5
GPT-5.6 Terra,Greek,300,229,1,67,3,0,0.763,0.003,0.223,0.010,0.000
GPT-5.6 Terra,English,150,140,2,8,0,0,0.933,0.013,0.053,0.000,0.000
"GPT-5.6 Terra, reasoning off",Greek,300,215,4,73,8,0,0.717,0.013,0.243,0.027,0.000
"GPT-5.6 Terra, reasoning off",English,150,127,19,2,2,0,0.847,0.127,0.013,0.013,0.000
Claude Sonnet 5,Greek,300,248,21,31,0,0,0.827,0.070,0.103,0.000,0.000
Claude Sonnet 5,English,150,105,11,33,1,0,0.700,0.073,0.220,0.007,0.000
Gemini 3.6 Flash,Greek,300,298,2,0,0,0,0.993,0.007,0.000,0.000,0.000
Gemini 3.6 Flash,English,150,150,0,0,0,0,1.000,0.000,0.000,0.000,0.000
